support,itemsets
0.0126,"frozenset({'Molto', 'Lifebuoy', 'Good Day'})"
0.0127,"frozenset({'Aqua', 'Lifebuoy', 'Molto'})"
0.0103,"frozenset({'Aqua', 'Lifebuoy', 'Nabati Keju'})"
0.0103,"frozenset({'Aqua', 'Lifebuoy', 'Biskuat'})"
0.0108,"frozenset({'Aqua', 'Lifebuoy', 'Kapal Api'})"
0.0106,"frozenset({'Aqua', 'Lifebuoy', 'Big Babol'})"
0.0102,"frozenset({'Aqua', 'Djarum', 'Lifebuoy'})"
0.011,"frozenset({'Lifebuoy', 'Aqua', 'Momogi'})"
0.011,"frozenset({'Aqua', 'Lifebuoy', 'Indomie Kari Ayam'})"
0.0113,"frozenset({'Djarum', 'Lifebuoy', 'Yupi'})"
0.0109,"frozenset({'Bimoli', 'Lifebuoy', 'Yupi'})"
0.0105,"frozenset({'Lifebuoy', 'Biskuat', 'Yupi'})"
0.01,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Yupi'})"
0.01,"frozenset({'Lifebuoy', 'Taro', 'Yupi'})"
0.0101,"frozenset({'Lifebuoy', 'Good Day', 'Yupi'})"
0.0114,"frozenset({'Molto', 'Lifebuoy', 'Yupi'})"
0.0101,"frozenset({'Yupi', 'Lifebuoy', 'Big Babol'})"
0.0106,"frozenset({'Lifebuoy', 'Momogi', 'Yupi'})"
0.0493,"frozenset({'Molto', 'Good Day'})"
0.0493,"frozenset({'Momogi', 'Good Day'})"
0.0467,"frozenset({'Djarum', 'Good Day'})"
0.0112,"frozenset({'Molto', 'Momogi', 'Good Day'})"
0.0104,"frozenset({'Molto', 'Djarum', 'Good Day'})"
0.011,"frozenset({'Djarum', 'Momogi', 'Good Day'})"
0.0452,"frozenset({'Aqua', 'Good Day'})"
0.0483,"frozenset({'Aqua', 'Momogi'})"
0.0473,"frozenset({'Aqua', 'Molto'})"
0.0469,"frozenset({'Aqua', 'Djarum'})"
0.0102,"frozenset({'Aqua', 'Momogi', 'Good Day'})"
0.0114,"frozenset({'Aqua', 'Djarum', 'Good Day'})"
0.0112,"frozenset({'Aqua', 'Momogi', 'Molto'})"
0.01,"frozenset({'Aqua', 'Djarum', 'Momogi'})"
0.0113,"frozenset({'Aqua', 'Djarum', 'Molto'})"
0.0465,"frozenset({'Good Day', 'Roma Kelapa'})"
0.0443,"frozenset({'Aqua', 'Roma Kelapa'})"
0.0472,"frozenset({'Molto', 'Roma Kelapa'})"
0.0474,"frozenset({'Momogi', 'Roma Kelapa'})"
0.0461,"frozenset({'Roma Kelapa', 'Big Babol'})"
0.0439,"frozenset({'Indomie Kari Ayam', 'Roma Kelapa'})"
0.0462,"frozenset({'Roma Kelapa', 'Taro'})"
0.0475,"frozenset({'Djarum', 'Roma Kelapa'})"
0.0112,"frozenset({'Good Day', 'Molto', 'Roma Kelapa'})"
0.01,"frozenset({'Good Day', 'Momogi', 'Roma Kelapa'})"
0.0109,"frozenset({'Good Day', 'Djarum', 'Roma Kelapa'})"
0.0104,"frozenset({'Aqua', 'Momogi', 'Roma Kelapa'})"
0.01,"frozenset({'Aqua', 'Roma Kelapa', 'Big Babol'})"
0.0107,"frozenset({'Aqua', 'Roma Kelapa', 'Taro'})"
0.0107,"frozenset({'Aqua', 'Djarum', 'Roma Kelapa'})"
0.0109,"frozenset({'Molto', 'Djarum', 'Roma Kelapa'})"
0.0111,"frozenset({'Molto', 'Momogi', 'Roma Kelapa'})"
0.0118,"frozenset({'Good Day', 'Roma Kelapa', 'Big Babol'})"
0.0112,"frozenset({'Momogi', 'Roma Kelapa', 'Big Babol'})"
0.0107,"frozenset({'Djarum', 'Roma Kelapa', 'Big Babol'})"
0.0122,"frozenset({'Roma Kelapa', 'Taro', 'Big Babol'})"
0.0109,"frozenset({'Molto', 'Roma Kelapa', 'Big Babol'})"
0.0107,"frozenset({'Aqua', 'Roma Kelapa', 'Indomie Kari Ayam'})"
0.0102,"frozenset({'Good Day', 'Indomie Kari Ayam', 'Roma Kelapa'})"
0.0106,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Roma Kelapa'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Roma Kelapa', 'Big Babol'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Roma Kelapa', 'Taro'})"
0.0116,"frozenset({'Good Day', 'Roma Kelapa', 'Taro'})"
0.0103,"frozenset({'Roma Kelapa', 'Momogi', 'Taro'})"
0.0107,"frozenset({'Djarum', 'Roma Kelapa', 'Taro'})"
0.01,"frozenset({'Molto', 'Roma Kelapa', 'Taro'})"
0.0475,"frozenset({'Good Day', 'Yupi'})"
0.047,"frozenset({'Aqua', 'Yupi'})"
0.0459,"frozenset({'Roma Kelapa', 'Yupi'})"
0.0455,"frozenset({'Indomie Goreng', 'Yupi'})"
0.0444,"frozenset({'Beras', 'Yupi'})"
0.0482,"frozenset({'Djarum', 'Yupi'})"
0.0475,"frozenset({'Momogi', 'Yupi'})"
0.0456,"frozenset({'Yupi', 'Nabati Keju'})"
0.0437,"frozenset({'Yupi', 'Kapal Api'})"
0.0447,"frozenset({'Sun Light Jeruk Nipis', 'Yupi'})"
0.046,"frozenset({'Biskuat', 'Yupi'})"
0.044,"frozenset({'Kwaci', 'Yupi'})"
0.0479,"frozenset({'Taro', 'Yupi'})"
0.0476,"frozenset({'Molto', 'Yupi'})"
0.0473,"frozenset({'Yupi', 'Gula Pasir'})"
0.0464,"frozenset({'Indomie Kari Ayam', 'Yupi'})"
0.0464,"frozenset({'Yupi', 'Big Babol'})"
0.0441,"frozenset({'Pocari Sweat', 'Yupi'})"
0.0114,"frozenset({'Molto', 'Good Day', 'Yupi'})"
0.0103,"frozenset({'Djarum', 'Good Day', 'Yupi'})"
0.0118,"frozenset({'Good Day', 'Taro', 'Yupi'})"
0.0117,"frozenset({'Momogi', 'Good Day', 'Yupi'})"
0.0109,"frozenset({'Aqua', 'Good Day', 'Yupi'})"
0.0105,"frozenset({'Aqua', 'Momogi', 'Yupi'})"
0.0126,"frozenset({'Aqua', 'Taro', 'Yupi'})"
0.0113,"frozenset({'Aqua', 'Djarum', 'Yupi'})"
0.0112,"frozenset({'Aqua', 'Molto', 'Yupi'})"
0.0103,"frozenset({'Good Day', 'Roma Kelapa', 'Yupi'})"
0.0101,"frozenset({'Aqua', 'Roma Kelapa', 'Yupi'})"
0.0102,"frozenset({'Yupi', 'Roma Kelapa', 'Big Babol'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Roma Kelapa', 'Yupi'})"
0.01,"frozenset({'Yupi', 'Roma Kelapa', 'Gula Pasir'})"
0.0112,"frozenset({'Biskuat', 'Roma Kelapa', 'Yupi'})"
0.0101,"frozenset({'Roma Kelapa', 'Taro', 'Yupi'})"
0.0106,"frozenset({'Momogi', 'Roma Kelapa', 'Yupi'})"
0.0112,"frozenset({'Molto', 'Roma Kelapa', 'Yupi'})"
0.0113,"frozenset({'Indomie Goreng', 'Roma Kelapa', 'Yupi'})"
0.0108,"frozenset({'Indomie Goreng', 'Good Day', 'Yupi'})"
0.0103,"frozenset({'Aqua', 'Indomie Goreng', 'Yupi'})"
0.0112,"frozenset({'Molto', 'Indomie Goreng', 'Yupi'})"
0.0109,"frozenset({'Indomie Goreng', 'Djarum', 'Yupi'})"
0.0109,"frozenset({'Nabati Keju', 'Indomie Goreng', 'Yupi'})"
0.0112,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Yupi'})"
0.0112,"frozenset({'Yupi', 'Indomie Goreng', 'Big Babol'})"
0.0107,"frozenset({'Yupi', 'Indomie Goreng', 'Gula Pasir'})"
0.0102,"frozenset({'Indomie Goreng', 'Momogi', 'Yupi'})"
0.0104,"frozenset({'Indomie Goreng', 'Beras', 'Yupi'})"
0.0104,"frozenset({'Aqua', 'Beras', 'Yupi'})"
0.0103,"frozenset({'Beras', 'Roma Kelapa', 'Yupi'})"
0.0106,"frozenset({'Yupi', 'Beras', 'Nabati Keju'})"
0.0103,"frozenset({'Beras', 'Momogi', 'Yupi'})"
0.0103,"frozenset({'Beras', 'Djarum', 'Yupi'})"
0.0103,"frozenset({'Beras', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0108,"frozenset({'Yupi', 'Beras', 'Big Babol'})"
0.0104,"frozenset({'Beras', 'Taro', 'Yupi'})"
0.0103,"frozenset({'Yupi', 'Beras', 'Gula Pasir'})"
0.01,"frozenset({'Beras', 'Biskuat', 'Yupi'})"
0.0114,"frozenset({'Djarum', 'Momogi', 'Yupi'})"
0.0114,"frozenset({'Molto', 'Momogi', 'Yupi'})"
0.0107,"frozenset({'Momogi', 'Taro', 'Yupi'})"
0.0107,"frozenset({'Yupi', 'Molto', 'Nabati Keju'})"
0.0107,"frozenset({'Yupi', 'Roma Kelapa', 'Nabati Keju'})"
0.0114,"frozenset({'Yupi', 'Nabati Keju', 'Gula Pasir'})"
0.0107,"frozenset({'Yupi', 'Big Babol', 'Nabati Keju'})"
0.0117,"frozenset({'Yupi', 'Indomie Kari Ayam', 'Nabati Keju'})"
0.0108,"frozenset({'Yupi', 'Aqua', 'Nabati Keju'})"
0.0102,"frozenset({'Yupi', 'Taro', 'Nabati Keju'})"
0.0101,"frozenset({'Yupi', 'Good Day', 'Nabati Keju'})"
0.0114,"frozenset({'Yupi', 'Djarum', 'Kapal Api'})"
0.0102,"frozenset({'Yupi', 'Good Day', 'Kapal Api'})"
0.0102,"frozenset({'Yupi', 'Molto', 'Kapal Api'})"
0.0101,"frozenset({'Yupi', 'Indomie Goreng', 'Kapal Api'})"
0.0106,"frozenset({'Yupi', 'Biskuat', 'Kapal Api'})"
0.0116,"frozenset({'Kapal Api', 'Yupi', 'Big Babol'})"
0.0107,"frozenset({'Yupi', 'Aqua', 'Kapal Api'})"
0.01,"frozenset({'Kapal Api', 'Yupi', 'Gula Pasir'})"
0.0108,"frozenset({'Yupi', 'Sun Light Jeruk Nipis', 'Kapal Api'})"
0.0109,"frozenset({'Yupi', 'Roma Kelapa', 'Kapal Api'})"
0.0104,"frozenset({'Yupi', 'Indomie Kari Ayam', 'Kapal Api'})"
0.0108,"frozenset({'Yupi', 'Taro', 'Kapal Api'})"
0.0105,"frozenset({'Molto', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0103,"frozenset({'Sun Light Jeruk Nipis', 'Taro', 'Yupi'})"
0.0102,"frozenset({'Djarum', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0109,"frozenset({'Yupi', 'Sun Light Jeruk Nipis', 'Gula Pasir'})"
0.0107,"frozenset({'Momogi', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0104,"frozenset({'Sun Light Jeruk Nipis', 'Roma Kelapa', 'Yupi'})"
0.0102,"frozenset({'Yupi', 'Sun Light Jeruk Nipis', 'Big Babol'})"
0.0106,"frozenset({'Aqua', 'Biskuat', 'Yupi'})"
0.0112,"frozenset({'Djarum', 'Biskuat', 'Yupi'})"
0.0102,"frozenset({'Yupi', 'Biskuat', 'Gula Pasir'})"
0.0112,"frozenset({'Biskuat', 'Good Day', 'Yupi'})"
0.0126,"frozenset({'Molto', 'Biskuat', 'Yupi'})"
0.0104,"frozenset({'Momogi', 'Biskuat', 'Yupi'})"
0.0102,"frozenset({'Yupi', 'Biskuat', 'Big Babol'})"
0.0114,"frozenset({'Biskuat', 'Taro', 'Yupi'})"
0.0121,"frozenset({'Kwaci', 'Aqua', 'Yupi'})"
0.01,"frozenset({'Kwaci', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0101,"frozenset({'Kwaci', 'Indomie Goreng', 'Yupi'})"
0.0101,"frozenset({'Kwaci', 'Good Day', 'Yupi'})"
0.0104,"frozenset({'Kwaci', 'Beras', 'Yupi'})"
0.0107,"frozenset({'Kwaci', 'Momogi', 'Yupi'})"
0.0103,"frozenset({'Yupi', 'Kwaci', 'Big Babol'})"
0.0117,"frozenset({'Kwaci', 'Roma Kelapa', 'Yupi'})"
0.0116,"frozenset({'Djarum', 'Taro', 'Yupi'})"
0.0112,"frozenset({'Molto', 'Taro', 'Yupi'})"
0.0108,"frozenset({'Molto', 'Djarum', 'Yupi'})"
0.0118,"frozenset({'Yupi', 'Djarum', 'Gula Pasir'})"
0.0109,"frozenset({'Yupi', 'Momogi', 'Gula Pasir'})"
0.0118,"frozenset({'Yupi', 'Molto', 'Gula Pasir'})"
0.0116,"frozenset({'Yupi', 'Taro', 'Gula Pasir'})"
0.0111,"frozenset({'Yupi', 'Good Day', 'Gula Pasir'})"
0.012,"frozenset({'Yupi', 'Indomie Kari Ayam', 'Gula Pasir'})"
0.0119,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Yupi'})"
0.0111,"frozenset({'Indomie Kari Ayam', 'Taro', 'Yupi'})"
0.011,"frozenset({'Yupi', 'Indomie Kari Ayam', 'Big Babol'})"
0.0114,"frozenset({'Indomie Kari Ayam', 'Good Day', 'Yupi'})"
0.0114,"frozenset({'Indomie Kari Ayam', 'Momogi', 'Yupi'})"
0.0115,"frozenset({'Indomie Kari Ayam', 'Molto', 'Yupi'})"
0.0114,"frozenset({'Aqua', 'Indomie Kari Ayam', 'Yupi'})"
0.0119,"frozenset({'Yupi', 'Taro', 'Big Babol'})"
0.0116,"frozenset({'Yupi', 'Djarum', 'Big Babol'})"
0.0103,"frozenset({'Yupi', 'Good Day', 'Big Babol'})"
0.0104,"frozenset({'Yupi', 'Big Babol', 'Gula Pasir'})"
0.0108,"frozenset({'Yupi', 'Momogi', 'Big Babol'})"
0.0111,"frozenset({'Yupi', 'Aqua', 'Big Babol'})"
0.011,"frozenset({'Pocari Sweat', 'Good Day', 'Yupi'})"
0.0106,"frozenset({'Pocari Sweat', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0105,"frozenset({'Pocari Sweat', 'Indomie Kari Ayam', 'Yupi'})"
0.0114,"frozenset({'Yupi', 'Pocari Sweat', 'Gula Pasir'})"
0.0106,"frozenset({'Pocari Sweat', 'Molto', 'Yupi'})"
0.0104,"frozenset({'Pocari Sweat', 'Djarum', 'Yupi'})"
0.0109,"frozenset({'Pocari Sweat', 'Taro', 'Yupi'})"
0.0478,"frozenset({'Pantene', 'Good Day'})"
0.0474,"frozenset({'Pantene', 'Beras'})"
0.0466,"frozenset({'Pantene', 'Yupi'})"
0.0447,"frozenset({'Pantene', 'Roma Kelapa'})"
0.0442,"frozenset({'Pantene', 'Indomie Goreng'})"
0.0441,"frozenset({'Pantene', 'Aqua'})"
0.0494,"frozenset({'Pantene', 'Pocari Sweat'})"
0.0468,"frozenset({'Pantene', 'Gula Pasir'})"
0.0458,"frozenset({'Pantene', 'Big Babol'})"
0.0448,"frozenset({'Pantene', 'Torabika'})"
0.0432,"frozenset({'Pantene', 'Bimoli'})"
0.0445,"frozenset({'Pantene', 'Tango'})"
0.0444,"frozenset({'Pantene', 'Taro'})"
0.0408,"frozenset({'Pantene', 'Lifebuoy'})"
0.0451,"frozenset({'Pantene', 'Kwaci'})"
0.0425,"frozenset({'Pantene', 'Molto'})"
0.043,"frozenset({'Pantene', 'Teh Kotak'})"
0.0414,"frozenset({'Pantene', 'Mie Gemez'})"
0.0426,"frozenset({'Pantene', 'Nabati Keju'})"
0.0452,"frozenset({'Pantene', 'Sun Light Jeruk Nipis'})"
0.0429,"frozenset({'Pantene', 'Kapal Api'})"
0.0422,"frozenset({'Pantene', 'Indomie Kari Ayam'})"
0.0456,"frozenset({'Pantene', 'Momogi'})"
0.0433,"frozenset({'Pantene', 'Djarum'})"
0.043,"frozenset({'Pantene', 'Biskuat'})"
0.0133,"frozenset({'Pantene', 'Pocari Sweat', 'Good Day'})"
0.0113,"frozenset({'Pantene', 'Beras', 'Good Day'})"
0.0114,"frozenset({'Pantene', 'Beras', 'Pocari Sweat'})"
0.0116,"frozenset({'Pantene', 'Beras', 'Yupi'})"
0.011,"frozenset({'Pantene', 'Good Day', 'Yupi'})"
0.0114,"frozenset({'Pantene', 'Yupi', 'Gula Pasir'})"
0.0106,"frozenset({'Pantene', 'Pocari Sweat', 'Yupi'})"
0.0118,"frozenset({'Good Day', 'Pantene', 'Roma Kelapa'})"
0.0105,"frozenset({'Pantene', 'Beras', 'Roma Kelapa'})"
0.0102,"frozenset({'Pantene', 'Roma Kelapa', 'Yupi'})"
0.0102,"frozenset({'Pantene', 'Roma Kelapa', 'Kwaci'})"
0.011,"frozenset({'Pantene', 'Torabika', 'Roma Kelapa'})"
0.0108,"frozenset({'Pantene', 'Roma Kelapa', 'Big Babol'})"
0.0114,"frozenset({'Pantene', 'Pocari Sweat', 'Roma Kelapa'})"
0.0105,"frozenset({'Pantene', 'Roma Kelapa', 'Gula Pasir'})"
0.0104,"frozenset({'Pantene', 'Momogi', 'Roma Kelapa'})"
0.0119,"frozenset({'Pantene', 'Indomie Goreng', 'Beras'})"
0.0111,"frozenset({'Pantene', 'Indomie Goreng', 'Roma Kelapa'})"
0.0109,"frozenset({'Pantene', 'Indomie Goreng', 'Good Day'})"
0.0107,"frozenset({'Pantene', 'Indomie Goreng', 'Yupi'})"
0.0108,"frozenset({'Pantene', 'Indomie Goreng', 'Pocari Sweat'})"
0.0106,"frozenset({'Pantene', 'Torabika', 'Indomie Goreng'})"
0.0105,"frozenset({'Pantene', 'Indomie Goreng', 'Gula Pasir'})"
0.0108,"frozenset({'Pantene', 'Indomie Goreng', 'Kwaci'})"
0.0109,"frozenset({'Pantene', 'Aqua', 'Beras'})"
0.0106,"frozenset({'Pantene', 'Aqua', 'Good Day'})"
0.0102,"frozenset({'Pantene', 'Aqua', 'Indomie Goreng'})"
0.011,"frozenset({'Pantene', 'Aqua', 'Pocari Sweat'})"
0.01,"frozenset({'Pantene', 'Aqua', 'Kwaci'})"
0.0113,"frozenset({'Pantene', 'Aqua', 'Gula Pasir'})"
0.0121,"frozenset({'Pantene', 'Pocari Sweat', 'Gula Pasir'})"
0.0111,"frozenset({'Pantene', 'Beras', 'Gula Pasir'})"
0.011,"frozenset({'Pantene', 'Good Day', 'Gula Pasir'})"
0.0117,"frozenset({'Pantene', 'Pocari Sweat', 'Big Babol'})"
0.013,"frozenset({'Pantene', 'Beras', 'Big Babol'})"
0.0121,"frozenset({'Pantene', 'Good Day', 'Big Babol'})"
0.011,"frozenset({'Pantene', 'Yupi', 'Big Babol'})"
0.0114,"frozenset({'Pantene', 'Torabika', 'Pocari Sweat'})"
0.0109,"frozenset({'Pantene', 'Torabika', 'Good Day'})"
0.0105,"frozenset({'Pantene', 'Bimoli', 'Pocari Sweat'})"
0.0105,"frozenset({'Pantene', 'Bimoli', 'Taro'})"
0.0104,"frozenset({'Pantene', 'Bimoli', 'Tango'})"
0.011,"frozenset({'Pantene', 'Bimoli', 'Yupi'})"
0.0122,"frozenset({'Pantene', 'Pocari Sweat', 'Tango'})"
0.0102,"frozenset({'Pantene', 'Torabika', 'Tango'})"
0.01,"frozenset({'Pantene', 'Tango', 'Kwaci'})"
0.0108,"frozenset({'Pantene', 'Beras', 'Tango'})"
0.0105,"frozenset({'Pantene', 'Tango', 'Roma Kelapa'})"
0.0115,"frozenset({'Pantene', 'Tango', 'Good Day'})"
0.0106,"frozenset({'Pantene', 'Tango', 'Yupi'})"
0.0117,"frozenset({'Pantene', 'Pocari Sweat', 'Taro'})"
0.0107,"frozenset({'Pantene', 'Torabika', 'Taro'})"
0.0103,"frozenset({'Pantene', 'Tango', 'Taro'})"
0.0101,"frozenset({'Pantene', 'Taro', 'Yupi'})"
0.01,"frozenset({'Pantene', 'Taro', 'Kwaci'})"
0.0122,"frozenset({'Pantene', 'Beras', 'Taro'})"
0.011,"frozenset({'Good Day', 'Pantene', 'Taro'})"
0.0109,"frozenset({'Pantene', 'Taro', 'Big Babol'})"
0.0107,"frozenset({'Pantene', 'Taro', 'Gula Pasir'})"
0.0109,"frozenset({'Lifebuoy', 'Pantene', 'Pocari Sweat'})"
0.0101,"frozenset({'Pantene', 'Beras', 'Lifebuoy'})"
0.0101,"frozenset({'Pantene', 'Lifebuoy', 'Kwaci'})"
0.0101,"frozenset({'Pantene', 'Lifebuoy', 'Big Babol'})"
0.0115,"frozenset({'Pantene', 'Beras', 'Kwaci'})"
0.0115,"frozenset({'Pantene', 'Good Day', 'Kwaci'})"
0.0111,"frozenset({'Pantene', 'Kwaci', 'Gula Pasir'})"
0.0108,"frozenset({'Pantene', 'Momogi', 'Kwaci'})"
0.0101,"frozenset({'Pantene', 'Sun Light Jeruk Nipis', 'Kwaci'})"
0.011,"frozenset({'Pantene', 'Pocari Sweat', 'Kwaci'})"
0.0108,"frozenset({'Pantene', 'Molto', 'Pocari Sweat'})"
0.0101,"frozenset({'Pantene', 'Molto', 'Taro'})"
0.0101,"frozenset({'Pantene', 'Molto', 'Yupi'})"
0.0101,"frozenset({'Pantene', 'Molto', 'Nabati Keju'})"
0.0101,"frozenset({'Pantene', 'Teh Kotak', 'Yupi'})"
0.0107,"frozenset({'Pantene', 'Teh Kotak', 'Good Day'})"
0.01,"frozenset({'Pantene', 'Aqua', 'Teh Kotak'})"
0.0108,"frozenset({'Pantene', 'Teh Kotak', 'Pocari Sweat'})"
0.0117,"frozenset({'Pantene', 'Teh Kotak', 'Big Babol'})"
0.0102,"frozenset({'Pantene', 'Teh Kotak', 'Beras'})"
0.01,"frozenset({'Pantene', 'Beras', 'Mie Gemez'})"
0.0104,"frozenset({'Pantene', 'Pocari Sweat', 'Mie Gemez'})"
0.01,"frozenset({'Pantene', 'Torabika', 'Mie Gemez'})"
0.0105,"frozenset({'Pantene', 'Big Babol', 'Nabati Keju'})"
0.0112,"frozenset({'Pantene', 'Beras', 'Nabati Keju'})"
0.0103,"frozenset({'Pantene', 'Momogi', 'Nabati Keju'})"
0.0105,"frozenset({'Pantene', 'Good Day', 'Nabati Keju'})"
0.0102,"frozenset({'Pantene', 'Biskuat', 'Nabati Keju'})"
0.0102,"frozenset({'Pantene', 'Yupi', 'Nabati Keju'})"
0.0107,"frozenset({'Pantene', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.0107,"frozenset({'Pantene', 'Beras', 'Sun Light Jeruk Nipis'})"
0.0117,"frozenset({'Pantene', 'Pocari Sweat', 'Sun Light Jeruk Nipis'})"
0.0113,"frozenset({'Pantene', 'Sun Light Jeruk Nipis', 'Good Day'})"
0.0104,"frozenset({'Pantene', 'Sun Light Jeruk Nipis', 'Gula Pasir'})"
0.0112,"frozenset({'Pantene', 'Sun Light Jeruk Nipis', 'Big Babol'})"
0.0117,"frozenset({'Pantene', 'Pocari Sweat', 'Kapal Api'})"
0.0103,"frozenset({'Pantene', 'Sun Light Jeruk Nipis', 'Kapal Api'})"
0.0104,"frozenset({'Pantene', 'Torabika', 'Kapal Api'})"
0.0102,"frozenset({'Pantene', 'Aqua', 'Kapal Api'})"
0.0103,"frozenset({'Pantene', 'Good Day', 'Kapal Api'})"
0.0102,"frozenset({'Pantene', 'Teh Kotak', 'Kapal Api'})"
0.011,"frozenset({'Pantene', 'Djarum', 'Kapal Api'})"
0.0101,"frozenset({'Pantene', 'Indomie Kari Ayam', 'Pocari Sweat'})"
0.0103,"frozenset({'Pantene', 'Indomie Kari Ayam', 'Good Day'})"
0.0111,"frozenset({'Pantene', 'Indomie Kari Ayam', 'Gula Pasir'})"
0.0105,"frozenset({'Pantene', 'Indomie Kari Ayam', 'Yupi'})"
0.0108,"frozenset({'Pantene', 'Indomie Kari Ayam', 'Djarum'})"
0.0102,"frozenset({'Pantene', 'Indomie Kari Ayam', 'Big Babol'})"
0.0122,"frozenset({'Pantene', 'Momogi', 'Gula Pasir'})"
0.0122,"frozenset({'Pantene', 'Momogi', 'Yupi'})"
0.0102,"frozenset({'Pantene', 'Pocari Sweat', 'Momogi'})"
0.0122,"frozenset({'Pantene', 'Momogi', 'Good Day'})"
0.01,"frozenset({'Pantene', 'Momogi', 'Big Babol'})"
0.0111,"frozenset({'Pantene', 'Djarum', 'Yupi'})"
0.0108,"frozenset({'Pantene', 'Djarum', 'Good Day'})"
0.0104,"frozenset({'Pantene', 'Djarum', 'Big Babol'})"
0.0103,"frozenset({'Pantene', 'Djarum', 'Tango'})"
0.0117,"frozenset({'Pantene', 'Djarum', 'Gula Pasir'})"
0.0113,"frozenset({'Pantene', 'Djarum', 'Pocari Sweat'})"
0.0102,"frozenset({'Pantene', 'Djarum', 'Momogi'})"
0.01,"frozenset({'Pantene', 'Aqua', 'Djarum'})"
0.0122,"frozenset({'Pantene', 'Beras', 'Biskuat'})"
0.0104,"frozenset({'Pantene', 'Torabika', 'Biskuat'})"
0.0101,"frozenset({'Pantene', 'Biskuat', 'Taro'})"
0.0109,"frozenset({'Pantene', 'Biskuat', 'Yupi'})"
0.0107,"frozenset({'Pantene', 'Momogi', 'Biskuat'})"
0.0103,"frozenset({'Pantene', 'Biskuat', 'Roma Kelapa'})"
0.0102,"frozenset({'Pantene', 'Djarum', 'Biskuat'})"
0.0105,"frozenset({'Pantene', 'Biskuat', 'Tango'})"
0.0108,"frozenset({'Pantene', 'Biskuat', 'Kwaci'})"
0.0482,"frozenset({'Molto', 'Momogi'})"
0.0475,"frozenset({'Molto', 'Taro'})"
0.0496,"frozenset({'Taro', 'Big Babol'})"
0.0493,"frozenset({'Aqua', 'Taro'})"
0.0449,"frozenset({'Momogi', 'Taro'})"
0.0488,"frozenset({'Good Day', 'Taro'})"
0.0457,"frozenset({'Djarum', 'Taro'})"
0.0464,"frozenset({'Indomie Kari Ayam', 'Taro'})"
0.0102,"frozenset({'Aqua', 'Molto', 'Taro'})"
0.0118,"frozenset({'Molto', 'Taro', 'Big Babol'})"
0.0114,"frozenset({'Good Day', 'Molto', 'Taro'})"
0.0115,"frozenset({'Aqua', 'Taro', 'Big Babol'})"
0.0119,"frozenset({'Momogi', 'Taro', 'Big Babol'})"
0.011,"frozenset({'Good Day', 'Momogi', 'Taro'})"
0.0124,"frozenset({'Good Day', 'Taro', 'Big Babol'})"
0.0106,"frozenset({'Good Day', 'Aqua', 'Taro'})"
0.0102,"frozenset({'Good Day', 'Djarum', 'Taro'})"
0.0117,"frozenset({'Djarum', 'Taro', 'Big Babol'})"
0.0112,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Taro'})"
0.0109,"frozenset({'Aqua', 'Djarum', 'Taro'})"
0.0118,"frozenset({'Indomie Kari Ayam', 'Taro', 'Big Babol'})"
0.011,"frozenset({'Aqua', 'Taro', 'Indomie Kari Ayam'})"
0.0105,"frozenset({'Indomie Kari Ayam', 'Molto', 'Taro'})"
0.0459,"frozenset({'Teh Kotak', 'Taro'})"
0.0446,"frozenset({'Teh Kotak', 'Molto'})"
0.0474,"frozenset({'Teh Kotak', 'Big Babol'})"
0.0459,"frozenset({'Teh Kotak', 'Momogi'})"
0.0457,"frozenset({'Aqua', 'Teh Kotak'})"
0.0452,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis'})"
0.0447,"frozenset({'Teh Kotak', 'Indomie Goreng'})"
0.0434,"frozenset({'Teh Kotak', 'Torabika'})"
0.0421,"frozenset({'Teh Kotak', 'Biskuat'})"
0.042,"frozenset({'Teh Kotak', 'Nabati Keju'})"
0.0477,"frozenset({'Teh Kotak', 'Good Day'})"
0.0449,"frozenset({'Teh Kotak', 'Roma Kelapa'})"
0.0448,"frozenset({'Kwaci', 'Teh Kotak'})"
0.0449,"frozenset({'Bimoli', 'Teh Kotak'})"
0.0428,"frozenset({'Teh Kotak', 'Mie Gemez'})"
0.0447,"frozenset({'Teh Kotak', 'Beras'})"
0.0453,"frozenset({'Pocari Sweat', 'Teh Kotak'})"
0.0456,"frozenset({'Teh Kotak', 'Yupi'})"
0.0437,"frozenset({'Teh Kotak', 'Gula Pasir'})"
0.0433,"frozenset({'Teh Kotak', 'Indomie Kari Ayam'})"
